HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	RefSeq IDs	RefSeq(supplied by NCBI)
HGNC:24413	CYCSP4	cytochrome c, somatic pseudogene 4	Approved		HCP4	NG_002955	NG_002955
HGNC:24416	CYCSP5	cytochrome c, somatic pseudogene 5	Approved		HCP5	NG_002956	NG_002956
HGNC:24421	CYCSP6	cytochrome c, somatic pseudogene 6	Approved		HCP6	NG_002957	NG_002957
HGNC:24422	CYCSP7	cytochrome c, somatic pseudogene 7	Approved		HCP7	NG_002958	NG_002958
HGNC:24423	CYCSP8	cytochrome c, somatic pseudogene 8	Approved		HCP8	NG_002959	NG_002959
HGNC:24384	CYCSP10	cytochrome c, somatic pseudogene 10	Approved		HCP10	NG_002961	NG_002961
HGNC:24385	CYCSP11	cytochrome c, somatic pseudogene 11	Approved		HCP11	NG_002962	NG_002962
HGNC:24386	CYCSP12	cytochrome c, somatic pseudogene 12	Approved	CYCSP13	HCP12, HCP13	NG_002963	NG_002963
HGNC:24387	CYCSP13~withdrawn	symbol withdrawn, see CYCSP12	Symbol Withdrawn				
HGNC:24388	CYCSP14	cytochrome c, somatic pseudogene 14	Approved		HCP14	NG_002965	NG_002965
HGNC:24389	CYCSP16	cytochrome c, somatic pseudogene 16	Approved		HCP16	NG_002966	NG_002966
HGNC:24390	CYCSP17	cytochrome c, somatic pseudogene 17	Approved		HCP17	NG_002967	NG_002967
HGNC:24391	CYCSP18	cytochrome c, somatic pseudogene 18	Approved		HCP18	NG_002968	NG_002968
HGNC:24392	CYCSP19	cytochrome c, somatic pseudogene 19	Approved		HCP19	NG_002969	NG_002969
HGNC:24394	CYCSP20	cytochrome c, somatic pseudogene 20	Approved		HCP20	NG_002970	NG_002970
HGNC:24396	CYCSP22	cytochrome c, somatic pseudogene 22	Approved		HCP22	NG_002972	NG_002972
HGNC:24397	CYCSP23	cytochrome c, somatic pseudogene 23	Approved		HCP23	NG_002973	NG_002973
HGNC:24398	CYCSP24	cytochrome c, somatic pseudogene 24	Approved		HCP24, HC3, HCP31	NG_002974	NG_002974
HGNC:24399	CYCSP25	cytochrome c, somatic pseudogene 25	Approved		HC10, HCP25	NG_002975	NG_002975
HGNC:24400	CYCSP26	cytochrome c, somatic pseudogene 26	Approved		HCP26	NG_002976	NG_002976
HGNC:24401	CYCSP27	cytochrome c, somatic pseudogene 27	Approved		HCP27	NG_002977	NG_002977
HGNC:24402	CYCSP28	cytochrome c, somatic pseudogene 28	Approved		HCP28	NG_002978	NG_002978
HGNC:24403	CYCSP29	cytochrome c, somatic pseudogene 29	Approved		HCP29	NG_002979	NG_002979
HGNC:24405	CYCSP30	cytochrome c, somatic pseudogene 30	Approved		HCP30		NG_002980
HGNC:24406	CYCSP32	cytochrome c, somatic pseudogene 32	Approved		HCP32	NG_002981	NG_002981
HGNC:24407	CYCSP33	cytochrome c, somatic pseudogene 33	Approved		HCP33	NG_002982	NG_002982
HGNC:24408	CYCSP34	cytochrome c, somatic pseudogene 34	Approved		HCP34	NG_002983	NG_002983
HGNC:24409	CYCSP35	cytochrome c, somatic pseudogene 35	Approved		HCP35, HC8	NG_002984	NG_002984
HGNC:24411	CYCSP38	cytochrome c, somatic pseudogene 38	Approved		HCP38, HC2	NG_002987	NG_002987
HGNC:24412	CYCSP39	cytochrome c, somatic pseudogene 39	Approved		HC1, HCP39	NG_002988	NG_002988
HGNC:24414	CYCSP40	cytochrome c, somatic pseudogene 40	Approved		HCP40, HC7	NG_002989	NG_002989
HGNC:2580	CYCSP41	cytochrome c, somatic pseudogene 41	Approved	CYC1LP4	HCP41	NG_002990	NG_002990
HGNC:2581	CYCSP42	cytochrome c, somatic pseudogene 42	Approved	CYC1LP5		NG_002991	NG_002991
HGNC:24417	CYCSP43	cytochrome c, somatic pseudogene 43	Approved		HCP43	NG_002992	NG_002992
HGNC:24418	CYCSP44	cytochrome c, somatic pseudogene 44	Approved		HCP44	NG_002993	NG_002993
HGNC:24419	CYCSP45	cytochrome c, somatic pseudogene 45	Approved		HCP45	NG_002994	NG_002994
HGNC:23941	CYCSP46	cytochrome c, somatic pseudogene 46	Approved		HCP46, HCP47	NG_002926	NG_002926
HGNC:23942	CYCSP48	cytochrome c, somatic pseudogene 48	Approved		HCP48	NG_002995	NG_002995
HGNC:23943	CYCSP49	cytochrome c, somatic pseudogene 49	Approved	CYCSP54	HCP49	NG_002999	NG_002927
HGNC:24383	CYCSP51	cytochrome c, somatic pseudogene 51	Approved		HCP1	NG_002953	NG_002953
HGNC:24393	CYCSP52	cytochrome c, somatic pseudogene 52	Approved		HCP2, HC6	NR_001560	NR_001560
HGNC:24404	CYCSP53	cytochrome c, somatic pseudogene 53	Approved		HCP3	NG_002954	NG_002954
HGNC:23944	CYCSP54~withdrawn	symbol withdrawn, see CYCSP49	Symbol Withdrawn				
HGNC:21252	CYCSP55	cytochrome c, somatic pseudogene 55	Approved	CYCSL1	bA513I15.3, HCP15	NG_007352	NG_007352
HGNC:24424	CYCTP	cytochrome c, testis, pseudogene	Approved		HCP9	NG_002960	NG_002960
HGNC:13759	CYFIP1	cytoplasmic FMR1 interacting protein 1	Approved		KIAA0068, P140SRA-1, SHYC	NM_014608	NM_001033028
HGNC:13760	CYFIP2	cytoplasmic FMR1 interacting protein 2	Approved		PIR121	NM_001037332	NM_001037333
HGNC:16505	CYGB	cytoglobin	Approved		HGB, STAP	NM_134268	NM_134268
HGNC:17806	CYHR1	cysteine and histidine rich 1	Approved		CHRP, KIAA0496, MGC13010	NM_032687	NM_001129888
HGNC:2582	CYLC1	cylicin 1	Approved			NM_021118	NM_001271680
HGNC:2583	CYLC2	cylicin 2	Approved			NM_001340	NM_001340
HGNC:2584	CYLD	CYLD lysine 63 deubiquitinase	Approved	CYLD1	KIAA0849, USPL2		NM_001042355
HGNC:2585	CYLD1~withdrawn	symbol withdrawn, see CYLD	Symbol Withdrawn				
HGNC:2587	CYMD	cystoid macular dystrophy	Approved		DCMD, MDDC		
HGNC:2588	CYMP	chymosin pseudogene	Approved			NR_003599	NR_003599
HGNC:52509	CYMP-AS1	CYMP antisense RNA 1	Approved				NR_108042
HGNC:18577	CYorf15B~withdrawn	symbol withdrawn, see TXLNGY	Symbol Withdrawn				
HGNC:2595	CYP1A1	cytochrome P450 family 1 subfamily A member 1	Approved	CYP1	P450DX, P1-450, P450-C, CP11	NM_000499	NM_000499
HGNC:2596	CYP1A2	cytochrome P450 family 1 subfamily A member 2	Approved		P3-450, CP12	NM_000761	NM_000761
HGNC:2597	CYP1B1	cytochrome P450 family 1 subfamily B member 1	Approved	GLC3A	CP1B	NM_000104	NM_000104
HGNC:28543	CYP1B1-AS1	CYP1B1 antisense RNA 1	Approved	C2orf58	MGC34824		NR_027252
HGNC:39968	CYP1D1P	cytochrome P450 family 1 subfamily D member 1, pseudogene	Approved		CYP1A8P	NG_023158	NG_023158
HGNC:2607	CYP2A~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:2609	CYP2A3~withdrawn	symbol withdrawn, see CYP2A6	Symbol Withdrawn				
HGNC:2610	CYP2A6	cytochrome P450 family 2 subfamily A member 6	Approved	CYP2A3	CPA6, CYP2A	NM_000762	NM_000762
HGNC:2611	CYP2A7	cytochrome P450 family 2 subfamily A member 7	Approved		CYP2A	NM_030589	NM_000764
HGNC:2612	CYP2A7P1	cytochrome P450 family 2 subfamily A member 7 pseudogene 1	Approved		CYP2A18PN, CYP2A7PT	NG_029327	NG_029327
HGNC:2613	CYP2A7P2	cytochrome P450 family 2 subfamily A member 7 pseudogene 2	Approved		CYP2A18PC		
HGNC:2608	CYP2A13	cytochrome P450 family 2 subfamily A member 13	Approved		CPAD, CYP2A	NM_000766	NM_000766
HGNC:39975	CYP2AB1P	cytochrome P450 family 2 subfamily AB member 1, pseudogene	Approved				NG_046139
HGNC:39976	CYP2AC1P	cytochrome P450 family 2 subfamily AC member 1, pseudogene	Approved				NG_045223
HGNC:2614	CYP2B~withdrawn	symbol withdrawn, see CYP2B6	Symbol Withdrawn				
HGNC:2615	CYP2B6	cytochrome P450 family 2 subfamily B member 6	Approved	CYP2B	CPB6, CYPIIB6	NM_000767	NM_000767
HGNC:2616	CYP2B7P	cytochrome P450 family 2 subfamily B member 7, pseudogene	Approved	CYP2B7P1	CYP2B		NR_001278
HGNC:2617	CYP2C~withdrawn	symbol withdrawn, see CYP2C19	Symbol Withdrawn				
HGNC:2622	CYP2C8	cytochrome P450 family 2 subfamily C member 8	Approved		CPC8	NM_000770	NM_000770
HGNC:2623	CYP2C9	cytochrome P450 family 2 subfamily C member 9	Approved	CYP2C10	P450IIC9	NM_000771	NM_000771
HGNC:2618	CYP2C10~withdrawn	symbol withdrawn, see CYP2C9	Symbol Withdrawn				
HGNC:2619	CYP2C17~withdrawn	symbol withdrawn, see CYP2C18	Symbol Withdrawn				
HGNC:2620	CYP2C18	cytochrome P450 family 2 subfamily C member 18	Approved	CYP2C17	P450IIC17, CPCI, CYP2C	NM_000772	NM_000772
HGNC:2621	CYP2C19	cytochrome P450 family 2 subfamily C member 19	Approved	CYP2C	P450IIC19, CPCJ	NM_000769	NM_000769
HGNC:39970	CYP2C23P	cytochrome P450 family 2 subfamily C member 23, pseudogene	Approved	CYP2C62P		NG_055577	NG_055577
HGNC:39971	CYP2C56P	cytochrome P450 family 2 subfamily C member 56, pseudogene	Approved		CYP2C-se1[7]		NG_043798
HGNC:39969	CYP2C58P	cytochrome P450 family 2 subfamily C member 58, pseudogene	Approved				NG_043298
HGNC:42406	CYP2C59P	cytochrome P450 family 2 subfamily C member 59, pseudogene	Approved		CYP2C9-de2c3c		NG_032713
HGNC:42410	CYP2C60P	cytochrome P450 family 2 subfamily C member 60, pseudogene	Approved		CYP2C8-de6b		NG_043778
HGNC:39972	CYP2C61P	cytochrome P450 family 2 subfamily C member 61, pseudogene	Approved		CYP2C-se2[1:2]		NG_043673
HGNC:42411	CYP2C63P	cytochrome P450 family 2 subfamily C member 63, pseudogene	Approved		CYP2C-se3[1]		NG_046359
HGNC:39974	CYP2C64P	cytochrome P450 family 2 subfamily C member 64, pseudogene	Approved		CYP2C-se4[1]		
HGNC:42405	CYP2C115P	cytochrome P450 family 2 subfamily C member 115, pseudogene	Approved		CYP2C9-de1b		NG_032714
HGNC:2625	CYP2D6	cytochrome P450 family 2 subfamily D member 6	Approved	CYP2DL1, CYP2D7P2, CYP2D7BP, CYP2D8P2, CYP2D7AP	CPD6, P450-DB1, CYP2D, P450C2D		NM_000106
HGNC:2624	CYP2D7	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)	Approved	CYP2D, CYP2D@, CYP2D7P1, CYP2D7P			NM_001348386
HGNC:2627	CYP2D7P2~withdrawn	symbol withdrawn, see CYP2D6	Symbol Withdrawn				
HGNC:2628	CYP2D8P	ccytochrome P450 family 2 subfamily D member 8, pseudogene	Approved	CYP2DP1, CYP2D8P1			NG_000854
HGNC:2626	CYP2D8P2~withdrawn	symbol withdrawn, see CYP2D6	Symbol Withdrawn				
HGNC:2629	CYP2DL1~withdrawn	symbol withdrawn, see CYP2D6	Symbol Withdrawn				
HGNC:2630	CYP2DP1~withdrawn	symbol withdrawn, see CYP2D8P	Symbol Withdrawn				
HGNC:2631	CYP2E1	cytochrome P450 family 2 subfamily E member 1	Approved	CYP2E		NM_000773	NM_000773
HGNC:2632	CYP2F1	cytochrome P450 family 2 subfamily F member 1	Approved	CYP2F			NM_000774
HGNC:18851	CYP2F2P	cytochrome P450 family 2 subfamily F member 2, pseudogene	Approved	CYP2F1P			NG_029339
HGNC:2633	CYP2G1P	cytochrome P450 family 2 subfamily G member 1, pseudogene	Approved	CYP2G1	CYP2GP1		NR_040249
HGNC:15653	CYP2G2P	cytochrome P450 family 2 subfamily G member 2, pseudogene	Approved	CYP2G2	CYP2GP2		NG_029337
HGNC:2634	CYP2J2	cytochrome P450 family 2 subfamily J member 2	Approved			NM_000775	NM_000775
HGNC:20580	CYP2R1	cytochrome P450 family 2 subfamily R member 1	Approved			NM_024514	NM_024514
HGNC:15654	CYP2S1	cytochrome P450 family 2 subfamily S member 1	Approved				NM_030622
HGNC:18852	CYP2T1P	cytochrome P450 family 2 subfamily T member 1, pseudogene	Approved	CYP2T2P			NR_144551
HGNC:18853	CYP2T3P	cytochrome P450 family 2 subfamily T member 3, pseudogene	Approved				NG_029338
HGNC:20582	CYP2U1	cytochrome P450 family 2 subfamily U member 1	Approved		SPG49	NM_183075	NM_183075
HGNC:20243	CYP2W1	cytochrome P450 family 2 subfamily W member 1	Approved		FLJ20359, MGC34287	NM_017781	NM_017781
HGNC:2635	CYP3A~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:2636	CYP3A3~withdrawn	symbol withdrawn, see CYP3A4	Symbol Withdrawn				
HGNC:2637	CYP3A4	cytochrome P450 family 3 subfamily A member 4	Approved	CYP3A3			NM_001202855
HGNC:2638	CYP3A5	cytochrome P450 family 3 subfamily A member 5	Approved		PCN3, P450PCN3, CP35		NM_000777
HGNC:2639	CYP3A5P1~withdrawn	symbol withdrawn, see CYP3A51P	Symbol Withdrawn				
HGNC:18850	CYP3A5P2~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:2640	CYP3A7	cytochrome P450 family 3 subfamily A member 7	Approved		CP37, P450-HFLA		NM_000765
HGNC:51504	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough	Approved				NM_001256497
HGNC:17450	CYP3A43	cytochrome P450 family 3 subfamily A member 43	Approved				NM_001278921
HGNC:42418	CYP3A51P	cytochrome P450 family 3 subfamily A member 51, pseudogene	Approved	CYP3A5P1	CYP3A5-de13c, CYP3A5-de1b2b		NG_000856
HGNC:42412	CYP3A52P	cytochrome P450 family 3 subfamily A member 52, pseudogene	Approved		CYP3A43-de4c6c		NG_045113
HGNC:42413	CYP3A54P	cytochrome P450 family 3 subfamily A member 54, pseudogene	Approved		CYP3A-se1[2]		NG_043787
HGNC:42419	CYP3A137P	cytochrome P450 family 3 subfamily A member 137, pseudogene	Approved		CYP3A43-de1b		NG_046361
HGNC:2643	CYP4A2~withdrawn	symbol withdrawn, see CYP4A11	Symbol Withdrawn				
HGNC:2642	CYP4A11	cytochrome P450 family 4 subfamily A member 11	Approved	CYP4A2	CYP4AII	NM_000778	NM_000778
HGNC:20575	CYP4A22	cytochrome P450 family 4 subfamily A member 22	Approved			XM_208213	NM_001010969
HGNC:43715	CYP4A22-AS1	CYP4A22 antisense RNA 1	Approved		ncRNA-a3		
HGNC:39980	CYP4A26P	cytochrome P450 family 4 subfamily A member 26, pseudogene	Approved		CYP4A-se1[12]	NG_046399	NG_007966
HGNC:42414	CYP4A27P	cytochrome P450 family 4 subfamily A member 27, pseudogene	Approved		CYP4A-se3[12]	NG_026935	NG_007966
HGNC:42417	CYP4A43P	cytochrome P450 family 4 subfamily A member 43, pseudogene	Approved		CYP4A-se2[1]		NG_007966
HGNC:42416	CYP4A44P	cytochrome P450 family 4 subfamily A member 44, pseudogene	Approved		CYP4A-se4[2]		NG_007966
HGNC:2644	CYP4B1	cytochrome P450 family 4 subfamily B member 1	Approved			NM_000779	NM_000779
HGNC:2645	CYP4F2	cytochrome P450 family 4 subfamily F member 2	Approved			NM_001082	NM_001082
HGNC:2646	CYP4F3	cytochrome P450 family 4 subfamily F member 3	Approved	LTB4H	CYP4F	NM_000896	NM_000896
HGNC:2648	CYP4F8	cytochrome P450 family 4 subfamily F member 8	Approved			NM_007253	NM_007253
HGNC:39940	CYP4F9P	cytochrome P450 family 4 subfamily F member 9, pseudogene	Approved				NG_056701
HGNC:39943	CYP4F10P	cytochrome P450 family 4 subfamily F member 10, pseudogene	Approved				NG_032152
HGNC:13265	CYP4F11	cytochrome P450 family 4 subfamily F member 11	Approved			NM_021187	NM_001128932
HGNC:18857	CYP4F12	cytochrome P450 family 4 subfamily F member 12	Approved				NM_023944
HGNC:26820	CYP4F22	cytochrome P450 family 4 subfamily F member 22	Approved		FLJ39501	NM_173483	NM_173483
HGNC:39944	CYP4F23P	cytochrome P450 family 4 subfamily F member 23, pseudogene	Approved				NG_024224
HGNC:39945	CYP4F24P	cytochrome P450 family 4 subfamily F member 24, pseudogene	Approved			NR_033864	NR_033864
HGNC:39949	CYP4F25P	cytochrome P450 family 4 subfamily F member 25, pseudogene	Approved		CYP4F-se1[6:8]		NG_030091
HGNC:39948	CYP4F26P	cytochrome P450 family 4 subfamily F member 26, pseudogene	Approved		CYP4F-se2[6]		NG_045577
HGNC:39946	CYP4F27P	cytochrome P450 family 4 subfamily F member 27, pseudogene	Approved		CYP4F-se3[6:7:8]		NG_046652
HGNC:2647	CYP4F29P	cytochrome P450 family 4 subfamily F member 29, pseudogene	Approved	C21orf15, CYP4F3LP	CYP4F-se4[6:7:8]	NG_000927	NR_026755
HGNC:25270	CYP4F30P	cytochrome P450 family 4 subfamily F member 30, pseudogene	Approved	C2orf14	DKFZp434F1719, 4F-se9[6:7:8]	NR_023391	NR_023391
HGNC:39955	CYP4F31P	cytochrome P450 family 4 subfamily F member 31, pseudogene	Approved		CYP4F-se10[6:7:8]		NG_046788
HGNC:39951	CYP4F32P	cytochrome P450 family 4 subfamily F member 32, pseudogene	Approved		CYP4F-se5[6:8]		NG_046655
HGNC:39952	CYP4F33P	cytochrome P450 family 4 subfamily F member 33, pseudogene	Approved		CYP4F-se6[6]		NG_046657
HGNC:39953	CYP4F34P	cytochrome P450 family 4 subfamily F member 34, pseudogene	Approved		CYP4F-se7[6:7:8]	NG_024825	NG_024825
HGNC:39954	CYP4F35P	cytochrome P450 family 4 subfamily F member 35, pseudogene	Approved		CYP4F-se8[6:7:8]	NR_026756	NR_026756
HGNC:42407	CYP4F36P	cytochrome P450 family 4 subfamily F member 36, pseudogene	Approved		CYP4F2-de12b	NG_024156	NG_024156
HGNC:39957	CYP4F44P	cytochrome P450 family 4 subfamily F member 44, pseudogene	Approved		CYP4F-se12[6:8]		NG_043667
HGNC:39950	CYP4F45P	cytochrome P450 family 4 subfamily F member 45, pseudogene	Approved		CYP4F-se13[6:8]		
HGNC:39947	CYP4F59P	cytochrome P450 family 4 subfamily F member 59, pseudogene	Approved		CYP4F-se14[6:8]		NG_031982
HGNC:42468	CYP4F60P	cytochrome P450 family 4 subfamily F member 60, pseudogene	Approved		CYP4F-se15[6:7:8]		NG_046628
HGNC:42469	CYP4F61P	cytochrome P450 family 4 subfamily F member 61, pseudogene	Approved		CYP4F-se16[6:7:8]		NG_046836
HGNC:39956	CYP4F62P	cytochrome P450 family 4 subfamily F member 62, pseudogene	Approved	CYP4F43P	CYP4F-se11[6:7:8]		NR_103761
HGNC:23198	CYP4V2	cytochrome P450 family 4 subfamily V member 2	Approved		CYP4AH1	NM_207352	NM_207352
HGNC:20244	CYP4X1	cytochrome P450 family 4 subfamily X member 1	Approved		MGC40051	NM_178033	NM_001320289
HGNC:20583	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	Approved		CYP4A20	NM_178134	NM_178134
HGNC:24426	CYP4Z2P	cytochrome P450 family 4 subfamily Z member 2, pseudogene	Approved		FLJ40054	NR_002788	NR_002788
HGNC:2650	CYP7~withdrawn	symbol withdrawn, see CYP7A1	Symbol Withdrawn				
HGNC:2651	CYP7A1	cytochrome P450 family 7 subfamily A member 1	Approved	CYP7		NM_000780	NM_000780
HGNC:2652	CYP7B1	cytochrome P450 family 7 subfamily B member 1	Approved	SPG5A			NM_001324112
HGNC:2653	CYP8B1	cytochrome P450 family 8 subfamily B member 1	Approved		CYP12	NM_004391	NM_004391
HGNC:2590	CYP11A1	cytochrome P450 family 11 subfamily A member 1	Approved	CYP11A	P450SCC		NM_000781
HGNC:2591	CYP11B1	cytochrome P450 family 11 subfamily B member 1	Approved	CYP11B	P450C11, FHI, CPN1		NM_000497
HGNC:2592	CYP11B2	cytochrome P450 family 11 subfamily B member 2	Approved	CYP11B	CYP11BL, CPN2, P-450C18, P450aldo, ALDOS		NM_000498
HGNC:2593	CYP17A1	cytochrome P450 family 17 subfamily A member 1	Approved	CYP17	P450C17, CPT7, S17AH	NM_000102	NM_000102
HGNC:31671	CYP17A1-AS1	CYP17A1 antisense RNA 1	Approved	CYP17A1OS	bA753C18.3		XR_428804
HGNC:2594	CYP19A1	cytochrome P450 family 19 subfamily A member 1	Approved	CYP19	ARO, P-450AROM, CPV1, ARO1, CYAR, aromatase		NM_000103
HGNC:20576	CYP20A1	cytochrome P450 family 20 subfamily A member 1	Approved		CYP-M	NM_020674	NM_177538
HGNC:2598	CYP21~withdrawn	symbol withdrawn, see CYP21A2	Symbol Withdrawn				
HGNC:2599	CYP21A1P	cytochrome P450 family 21 subfamily A member 1, pseudogene	Approved	CYP21P, CYP21A	P450c21A		NR_040090
HGNC:2600	CYP21A2	cytochrome P450 family 21 subfamily A member 2	Approved	CYP21, CYP21B	P450c21B, CA21H, CPS1, CAH1	NM_000500	NM_000500
HGNC:2601	CYP21P~withdrawn	symbol withdrawn, see CYP21A1P	Symbol Withdrawn				
HGNC:2602	CYP24A1	cytochrome P450 family 24 subfamily A member 1	Approved	CYP24	CP24, P450-CC24		NM_000782
HGNC:2603	CYP26A1	cytochrome P450 family 26 subfamily A member 1	Approved		P450RAI, CP26, CYP26, P450RAI1		NM_000783
HGNC:20581	CYP26B1	cytochrome P450 family 26 subfamily B member 1	Approved		P450RAI-2	NM_019885	NM_001277742
HGNC:20577	CYP26C1	cytochrome P450 family 26 subfamily C member 1	Approved			NM_183374	NM_183374
HGNC:2604	CYP27~withdrawn	symbol withdrawn, see CYP27A1	Symbol Withdrawn				
HGNC:2605	CYP27A1	cytochrome P450 family 27 subfamily A member 1	Approved	CYP27	CTX, CP27		NM_000784
HGNC:2606	CYP27B1	cytochrome P450 family 27 subfamily B member 1	Approved	VDD1, PDDR	CYP1, P450c1	NM_000785	NM_000785
HGNC:33480	CYP27C1	cytochrome P450 family 27 subfamily C member 1	Approved		FLJ16008	NM_001001665	NM_001001665
HGNC:17449	CYP39A1	cytochrome P450 family 39 subfamily A member 1	Approved				NM_001278738
HGNC:2641	CYP46A1	cytochrome P450 family 46 subfamily A member 1	Approved	CYP46			NM_006668
HGNC:42349	CYP46A4P	cytochrome P450 family 46 subfamily A member 4, pseudogene	Approved		CYP46A-se1[12:13:14]		NG_032510
HGNC:2649	CYP51A1	cytochrome P450 family 51 subfamily A member 1	Approved	CYP51	CP51, CYPL1, P450L1, LDM, P450-14DM		NM_000786
HGNC:50694	CYP51A1-AS1	CYP51A1 antisense RNA 1	Approved		ENST00000453068, LRRD1-AS1		NR_122109
HGNC:20245	CYP51A1P1	cytochrome P450 family 51 subfamily A member 1 pseudogene 1	Approved	CYP51P1			NG_001294
HGNC:20251	CYP51A1P2	cytochrome P450 family 51 subfamily A member 1 pseudogene 2	Approved	CYP51P2			NG_002766
HGNC:41991	CYP51A1P3	cytochrome P450 family 51 subfamily A member 1 pseudogene 3	Approved	CYP51P3			NG_025983
HGNC:2654	CYR61	cysteine rich angiogenic inducer 61	Approved	IGFBP10	GIG1, CCN1	NM_001554	NM_001554
HGNC:22432	CYREN	cell cycle regulator of NHEJ	Approved	C7orf49	MGC5242, FLJ27285, FLJ22450, MRI, MRI-2	NM_024033	NM_001243749
HGNC:2655	CYRN1~withdrawn	symbol withdrawn, see ADAM3A	Symbol Withdrawn				
HGNC:2656	CYRN2~withdrawn	symbol withdrawn, see ADAM3B	Symbol Withdrawn				
HGNC:2657	CYRP~withdrawn	symbol withdrawn, see CSRP1	Symbol Withdrawn				
HGNC:18525	CYS1	cystin 1	Approved				NM_001037160
HGNC:17451	CYSLTR1	cysteinyl leukotriene receptor 1	Approved		CysLT1, CysLT(1), CYSLT1R		NM_001282186
HGNC:18274	CYSLTR2	cysteinyl leukotriene receptor 2	Approved		CysLT(2), CYSLT2R		NM_001308465
HGNC:30529	CYSRT1	cysteine rich tail 1	Approved	C9orf169	MGC59937	NM_199001	NM_199001
HGNC:30239	CYSTM1	cysteine rich transmembrane module containing 1	Approved	C5orf32	ORF1-FL49	NM_032412	NM_032412
HGNC:9501	CYTH1	cytohesin 1	Approved	PSCD1	B2-1, D17S811E, cytohesin-1	NM_004762	NM_001292018
HGNC:9502	CYTH2	cytohesin 2	Approved	PSCD2L, PSCD2	CTS18.1, Sec7p-L, ARNO, Sec7p-like, cytohesin-2	NM_004228	NM_004228
HGNC:9504	CYTH3	cytohesin 3	Approved	PSCD3	GRP1, ARNO3, cytohesin-3	NM_004227	NM_004227
HGNC:9505	CYTH4	cytohesin 4	Approved	PSCD4	CYT4, cytohesin-4		NM_001318024
HGNC:9506	CYTIP	cytohesin 1 interacting protein	Approved	PSCDBP	B3-1, HE, CYBR, CASP, CYTHIP	NM_004288	NM_004288
HGNC:24435	CYTL1	cytokine like 1	Approved		C17, C4orf4	NM_018659	NM_018659
HGNC:28717	CYTOR	cytoskeleton regulator RNA	Approved	C2orf59, NCRNA00152, LINC00152	MGC4677	NR_024204	NR_024204
HGNC:16274	CYYR1	cysteine and tyrosine rich 1	Approved	C21orf95		NM_052954	NM_001320768
HGNC:39560	CYYR1-AS1	cysteine and tyrosine rich 1 antisense RNA 1	Approved				NR_135515
HGNC:2658	CZP1~withdrawn	symbol withdrawn, see GJA8	Symbol Withdrawn				
HGNC:2659	CZP2~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:2660	CZP3~withdrawn	symbol withdrawn, see GJA3	Symbol Withdrawn				
HGNC:28358	D2HGDH	D-2-hydroxyglutarate dehydrogenase	Approved		MGC25181, D2HGD, FLJ42195	NM_152783	NM_001287249
HGNC:18142	DAAM1	dishevelled associated activator of morphogenesis 1	Approved		KIAA0666	NM_014992	NM_001270520
HGNC:18143	DAAM2	dishevelled associated activator of morphogenesis 2	Approved		KIAA0381		NM_001201427
HGNC:2661	DAB1	DAB1, reelin adaptor protein	Approved			NM_021080	NM_001353980
HGNC:49443	DAB1-AS1	DAB1 antisense RNA 1	Approved				NR_104362
HGNC:2662	DAB2	DAB2, clathrin adaptor protein	Approved		DOC-2	NM_001343	NM_001244871
HGNC:17294	DAB2IP	DAB2 interacting protein	Approved		AF9Q34, DIP1/2, KIAA1743, AIP1	NM_032552	NM_032552
HGNC:2663	DACH1	dachshund family transcription factor 1	Approved	DACH		NM_004392	NM_004392
HGNC:16814	DACH2	dachshund family transcription factor 2	Approved			NM_053281	NM_001139514
HGNC:51902	DACOR1	DNMT1-associated colon cancer repressed lncRNA 1	Approved		TCONS_00023265		
HGNC:17748	DACT1	dishevelled binding antagonist of beta catenin 1	Approved		DAPPER1, THYEX3, HDPR1, DAPPER, FRODO	NM_016651	NM_001079520
HGNC:21231	DACT2	dishevelled binding antagonist of beta catenin 2	Approved	C6orf116	bA503C24.7, DAPPER2		NM_001286350
HGNC:30745	DACT3	dishevelled binding antagonist of beta catenin 3	Approved	RRR1	MGC15476, DAPPER3	NM_145056	NM_001301046
HGNC:44120	DACT3-AS1	DACT3 antisense RNA 1	Approved			NR_040041	NR_040041
HGNC:2664	DAD1	defender against cell death 1	Approved		OST2	NM_001344	NM_001344
HGNC:18295	DAD1P1	defender against cell death 1 pseudogene 1	Approved	DAD1L	DAD-R	NR_024064	NG_008170
HGNC:2666	DAG1	dystroglycan 1	Approved		A3a, 156DAG, AGRNR, DAG		NM_001165928
HGNC:2667	DAGK1~withdrawn	symbol withdrawn, see DGKA	Symbol Withdrawn				
HGNC:2668	DAGK2~withdrawn	symbol withdrawn, see DGKB	Symbol Withdrawn				
HGNC:2669	DAGK3~withdrawn	symbol withdrawn, see DGKG	Symbol Withdrawn				
HGNC:2670	DAGK4~withdrawn	symbol withdrawn, see DGKQ	Symbol Withdrawn				
